Subject,Chapter,Type,Level,Topic,Board,Question,Question_img,Answer,Answer_img,Solution,Solution_Img,Explaination,Explaination_Img,Options
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},SB '2021,"188.  নিচের উদ্দীপকের আলোকে প্রশ্নের উত্তর দাওঃ
<math>16 y^{2}-25 x^{2}=400</math> একটি কনিকের সমীকরণ।
কনিকটির উৎকেন্দ্রিকতা কোনটি?
",,"<math>\frac{\sqrt{41}}{5}</math>
",,"প্রদত্ত কনিক, <math>16 y^{2}-25 x^{2}=400</math>
<math>\begin{array}{l}\Rightarrow  \frac{16 y^{2}}{400}-\frac{25 x^{2}}{400}=1 \\\Rightarrow \frac{y^{2}}{25}-\frac{x^{2}}{16}=1\end{array}</math>
<math>\text { वा, } \frac{y^{2}}{5^{2}}-\frac{x^{2}}{4^{2}}=1</math> যা <math>\frac{y^{2}}{\mathrm{~b}^{2}}-\frac{x^{2}}{\mathrm{a}^{2}}=1</math> অধিবৃত্তের আকার । 
যেখানে, <math>a=4, b=5</math> এবং <math>a<b</math> 
<math>\therefore</math> উৎকেন্দ্রিকতা, <math>e=\sqrt{1+\frac{a^{2}}{b^{2}}}=\sqrt{1+\frac{16}{25}}</math>
<math>\begin{array}{l}=\sqrt{\frac{25+16}{25}} \\=\sqrt{\frac{41}{25}}=\frac{\sqrt{41}}{5}\end{array}</math>
",,,,A. <math>\frac{3}{4}</math>----B. <math>\frac{3}{5}</math>----C. <math>\frac{\sqrt{41}}{4}</math>----D. <math>\frac{\sqrt{41}}{5}</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},SB '2021,"189.  নিচের উদ্দীপকের আলোকে প্রশ্নের উত্তর দাওঃ
<math>16 y^{2}-25 x^{2}=400</math> একটি কনিকের সমীকরণ। 
কনিকটির উপকেন্দ্রিক লম্বের সমীকরণ কত?
",,"<math>y= \pm \sqrt{41}</math>
",,"উপরের ব্যাখ্যা হতে প্রাপ্ত, <math>a=4, b=5</math> এবং <math>a < b</math>
<math>\therefore</math> উপকেন্দ্রিক লম্বের সমীকরণ,<math>y= \pm \text { be }</math>
<math>\begin{array}{l}\Rightarrow  y= \pm 5 \cdot \frac{\sqrt{41}}{5} \\\therefore y= \pm \sqrt{41}\end{array}</math>
",,,,A. <math>x= \pm \sqrt{41}</math>----B. <math>y= \pm \sqrt{41}</math>----C. <math>x= \pm 3</math>----D. <math>y= \pm 3</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},DiB '2021,"190.  নিচের তথ্যের আলোকে প্রশ্নের উত্তর দাও:
<math>3 x^{2}-4 y+6 x-5=0</math> একটি পরাবৃত্ত। 
পরাবৃত্তটির ফোকাস কোনটি?
",,"<math>\left(-1,-\frac{5}{3}\right)</math>
",,"প্রদত্ত পরাবৃত্ত, <math>3 x^{2}-4 y+6 x-5=0</math>
<math>\begin{array}{l}\Rightarrow 3 x^{2}+6 x=4 y+5\\\Rightarrow 3\left(x^{2}+2 x\right)=4 y+5\\\Rightarrow (x+1)^{2}=\frac{1}{3}(4 y+8)\\\Rightarrow(x+1)^{2}=4 \cdot \frac{1}{3}(y+2)\end{array}</math>
<math>\therefore X^{2}=4 \cdot \frac{1}{3} \cdot Y \text {, }</math> যা <math>X^{2}=4 \mathrm{a} Y</math> পরাবৃত্তের আকার।
যেখানে, <math>X=x+1, Y=y+2</math> এবং <math>a=\frac{1}{3}</math>
ফোকাস <math>(0, a)</math>
অর্থাৎ, <math>X=0</math>
<math>\begin{array}{l}\Rightarrow  x+1=0 \\\therefore x=-1\end{array}</math>
এবং <math>\mathbf{Y}=\mathbf{a}</math>
<math>\begin{array}{c}\Rightarrow  y+2=\frac{1}{3} \\\Rightarrow y=\frac{1}{3}-2 \\\therefore y=-\frac{5}{3}\end{array}</math>
<math>\therefore</math> পরাবৃত্তটির ফোকাস <math>\left(-1 ,-\frac{5}{3}\right)</math>
",,,,"A. <math>\left(-1,-\frac{5}{3}\right)</math>----B. <math>\left(0,-\frac{1}{3}\right)</math>----C. <math>\left(0, \frac{1}{3}\right)</math>----D. <math>(-1,-2)</math>"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},DiB '2021,"191.  নিচের তথ্যের আলোকে প্রশ্নের উত্তর দাও:
<math>3 x^{2}-4 y+6 x-5=0</math> একটি পরাবৃত্ত।  
পরাবৃত্তটির নিয়ামক রেখা কোনটি?
",,"<math>3 y+7=0</math>
",,"উপরের ব্যাখ্যা হতে প্রাপ্ত, <math>\mathrm{X}=x+1, \mathrm{Y}=y+2</math> এবং <math>a=\frac{1}{3}</math>
<math>\therefore </math> নিয়ামক রেখার সমীকরণ, <math>\mathrm{Y}+\mathrm{a}=0</math>
<math>\begin{array}{l}\Rightarrow  y+2+\frac{1}{3}=0 \\\therefore 3 y+7=0\end{array}</math>
",,,,A. <math>3 y+2=0</math>----B. <math>3 y+5=0</math>----C. <math>3 y+7=0</math>----D. <math>3 y-7=0</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},MB '2021,"192.  নিচের উদ্দীপকের সাহায্যে প্রশ্নের উত্তর দাও: 
<math>p x^{2}-16 y^{2}=144</math> কনিকটি <math>( \pm 4,0)</math> বিন্দুগামী। 
<math>p</math> এর মান-
",,"<math>9</math>
",,"প্রদত্ত কনিক <math>p x^{2}-16 y^{2}=144 \ldots \ldots\text { (i) }</math>
(i) নং কনিকটি <math>( \pm 4,0)</math> বিন্দুগামী।
<math>\begin{array}{l}\therefore \mathrm{p} \cdot( \pm 4)^{2}-16.0=144 \\\Rightarrow 16 \mathrm{p}=144 \\\Rightarrow \mathrm{p}=\frac{144}{16} \\\therefore \mathrm{p}=9\end{array}</math>
",,,,A. <math>-9</math>----B. <math>-4</math>----C. <math>4</math>----D. <math>9</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},MB '2021,"193.  নিচের উদ্দীপকের সাহায্যে প্রশ্নের উত্তর দাও: 
<math>p x^{2}-16 y^{2}=144</math> কনিকটি <math>( \pm 4,0)</math> বিন্দুগামী।  
উপকেন্দ্রের স্থানাঙ্ক-
",,"<math>( \pm 5,0)</math>
",,"প্রদত্ত সমীকরণ, <math>p x^{2}-16 y^{2}=144 \ldots \ldots \text { (i) }</math>
এবং উপরের ব্যাখ্যা হতে প্রাপ্ত, <math>p = 9</math> এর মান (i) নং সমীকরণে বসিয়ে পাই,
<math>\begin{array}{l}9 x^{2}-16 y^{2}=144 \\\Rightarrow \frac{x^{2}}{16}-\frac{y^{2}}{9}=1\end{array}</math>
<math>\Rightarrow \frac{x^{2}}{4^{2}}-\frac{y^{2}}{3^{2}}=1</math> যা <math>\frac{x^{2}}{\mathrm{a}^{2}}-\frac{y^{2}}{\mathrm{~b}^{2}}=1</math>  অধিবৃত্তের আকার\
যেখানে,<math>a=4, b=3</math>
<math>\therefore</math> উপকেন্দ্রের স্থানাঙ্ক  <math>\pm a e, 0) \equiv\left( \pm 4, \frac{\sqrt{a^{2}+b^{2}}}{a}, 0\right)</math>
<math>\begin{array}{l}=\left( \pm 4, \frac{\sqrt{16+9}}{4}, 0\right) \\=( \pm 5,0)\end{array}</math>
",,,,"A. <math>(0, \pm 4)</math>----B. <math>( \pm 4,0)</math>----C. <math>(0, \pm 5)</math>----D. <math>( \pm 5,0)</math>"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},DB '2019,"194.  option 2 *
",,"


",https://firebasestorage.googleapis.com/v0/b/q-bank-95803.appspot.com/o/images%2Fhsc%20math%202nd%20paper%206%20board%20mcq%2011.png?alt=media&token=a1b24eeb-bbaa-47a7-b9f4-5779930f5026,"
",,,,https://firebasestorage.googleapis.com/v0/b/q-bank-95803.appspot.com/o/images%2Fhsc%20math%202nd%20paper%206%20board%20mcq%2010.png?alt=media&token=56c20c41-5f72-4fee-ba4b-0535b0a774cd----https://firebasestorage.googleapis.com/v0/b/q-bank-95803.appspot.com/o/images%2Fhsc%20math%202nd%20paper%206%20board%20mcq%2011.png?alt=media&token=a1b24eeb-bbaa-47a7-b9f4-5779930f5026----https://firebasestorage.googleapis.com/v0/b/q-bank-95803.appspot.com/o/images%2Fhsc%20math%202nd%20paper%206%20board%20mcq%2012.png?alt=media&token=55ef0f14-6862-4d99-a2da-0cec540a18c4----https://firebasestorage.googleapis.com/v0/b/q-bank-95803.appspot.com/o/images%2Fhsc%20math%202nd%20paper%206%20board%20mcq%2013.png?alt=media&token=2ca707d8-9213-431c-a575-3f63bb7ae4cb
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},CB '2019,"195.  <math>x^{2}=3 y</math> কণিকের লেখচিত্র কোনটি?
",,"


",https://firebasestorage.googleapis.com/v0/b/q-bank-95803.appspot.com/o/images%2Fhsc%20math%202nd%20paper%206%20board%20mcq%2014.png?alt=media&token=d8f10dfe-a7de-41bd-9c1b-535ed00ab5b6,"
",,,,https://firebasestorage.googleapis.com/v0/b/q-bank-95803.appspot.com/o/images%2Fhsc%20math%202nd%20paper%206%20board%20mcq%2014.png?alt=media&token=d8f10dfe-a7de-41bd-9c1b-535ed00ab5b6----https://firebasestorage.googleapis.com/v0/b/q-bank-95803.appspot.com/o/images%2Fhsc%20math%202nd%20paper%206%20board%20mcq%2015.png?alt=media&token=3e99108a-2552-4317-a4f5-4c1641baf981----https://firebasestorage.googleapis.com/v0/b/q-bank-95803.appspot.com/o/images%2Fhsc%20math%202nd%20paper%206%20board%20mcq%2016.png?alt=media&token=ef11903d-0a7d-4a59-a0db-fa264e7fe6ea----https://firebasestorage.googleapis.com/v0/b/q-bank-95803.appspot.com/o/images%2Fhsc%20math%202nd%20paper%206%20board%20mcq%2017.png?alt=media&token=c23dc301-3e1e-4f21-b5e7-ce44788409ce
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},DiB '2019,"196.  <math>x^{2}+12 x+3 y=0</math> পরাবৃত্তের শীর্ষবিন্দু—?
",,"<math>(-6,12)</math>
",,"<math>\begin{array}{l}x^{2}+12 x+3 y=0 \Rightarrow x^{2}+2 \times 6 \times x+6^{2}=-3 y+36\\\Rightarrow(x+6)^{2}=-3(y-12)\end{array}</math>
<math>\therefore(x+6)^{2}=4\left(\frac{-3}{4}\right)(y-12) \therefore</math> শীর্ষবিন্দু <math>(-6,12)</math>
",,,,"A. <math>(-6,-12)</math>----B. <math>(6,12)</math>----C. <math>(-6,12)</math>----D. <math>(6,-12)</math>"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},BB '2019,"197.  <math>2 y^{2}=5 x</math> পরাবৃত্তের উপকেন্দ্রের স্থানাঙ্ক কোনটি ?
",,"<math>\left(\frac{5}{8}, 0\right)</math>
",,"<math>2 y^{2}=5 x \Rightarrow y^{2}=\frac{5}{2} x \Rightarrow y^{2}=4\left(\frac{5}{8}\right) x</math>
উপকেন্দ্ৰ <math>(a, 0)=\left(\frac{5}{8}, 0\right)</math>
",,,,"A. <math>\left(0, \frac{5}{8}\right)</math>----B. <math>\left(\frac{5}{8}, 0\right)</math>----C. <math>\left(0, \frac{5}{2}\right)</math>----D. <math>\left(\frac{5}{2}, 0\right)</math>"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},JB '2019,"198.  

উদ্দীপকের পরাবৃত্তের দিকাক্ষের সমীকরণ
<math>x+y-2=0</math> হলে শীর্ষবিন্দুর স্থানাংক কত?
",https://firebasestorage.googleapis.com/v0/b/q-bank-95803.appspot.com/o/images%2Fhsc%20math%202nd%20paper%206%20board%20mcq%2026.png?alt=media&token=db137382-176a-49b7-83af-be91a9a4477d,"<math>(4,2)</math>
",,"<math>\begin{array}{l}x+y-2=0 \\\therefore \frac{x}{2}+\frac{y}{2}=1 \\x=\frac{6+2}{2}=4 \\y=\frac{4+0}{2}=2\end{array}</math>


",https://firebasestorage.googleapis.com/v0/b/q-bank-95803.appspot.com/o/images%2Fhsc%20math%202nd%20paper%206%20board%20mcq%2027.png?alt=media&token=62b129c0-2b00-4e52-9076-7440e826f971,,,"A. <math>(2,0)</math>----B. <math>(4,2)</math>----C. <math>(2,4)</math>----D. <math>(0,2)</math>"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},DiB '2019,"199.  <math>x^{2}-4 y=0</math> কণিকের নিয়ামকের সমীকরণটি কোনটি?
",,"<math>y+1=0</math>
",,"<math>\mathrm{x}^{2}-4 \mathrm{y}=0 \quad \Rightarrow, \mathrm{x}^{2}=4 \mathrm{y} \quad \therefore \mathrm{a}=1</math>
নিয়ামক রেখার সমীকরণ-<math>y+a=0 \therefore y+1=0</math>
",,,,A. <math>y+1=0</math>----B. <math>y-1=0</math>----C. <math>x+1=0</math>----D. <math>x-1=0</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},ChB '2019,"200.  <math>y=4 x+c</math> সরলরেখাটি <math>y^{2}=32 x</math> বক্ররেখাকে স্পর্শ করলে <math>c</math> এর মান কত? 
",,"<math>2</math>
",,"সরলরেখা <math>y=4 x+c</math> এবং বক্ররেখা <math>y^{2}=32 x \Rightarrow y^{2}=4.8 \cdot x</math>
এখানে, <math>m=4</math> এবং <math>a=8 \therefore c=\frac{a}{m}=\frac{8}{4}=2</math>
",,,,A. <math>-128</math>----B. <math>\frac{1}{2}</math>----C. <math>2</math>----D. <math>128</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},CB '2019,"201.  <math>4 x^{2}+y^{2}=1</math> কণিকের উৎকেন্দ্রিকতা কোনটি?
",,"<math>\frac{\sqrt{3}}{2}</math>
",,"<math>4 x^{2}+y^{2}=1 \Rightarrow \frac{x^{2}}{(1 / 2)^{2}}+\frac{y^{2}}{1}=1</math> যেখানে <math>a=\frac{1}{2}</math> এবং <math>b=1</math>
উৎকেন্দ্রিকতা, <math>e=\sqrt{1-\frac{a^{2}}{b^{2}}}=\sqrt{1-\frac{1 / 4}{1^{2}}}=\frac{\sqrt{3}}{2}</math>
",,,,A. <math>\frac{2}{\sqrt{5}}</math>----B. <math>\frac{2}{\sqrt{3}}</math>----C. <math>\frac{\sqrt{3}}{2}</math>----D. <math>\frac{\sqrt{5}}{2}</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},JB '2019,"202.  <math>5 x^{2}-12 x y+5 y^{2}+22 x-26 y+29=0</math> সমীকরণ সূচিত বক্ররেখাটি কি নির্দেশ করে?
",,"অধিবৃত্ত
",,"<math>5 x^{2}-12 x y+5 y^{2}+22 x-26 y+29=0</math>
সাধারণ সমীকরণ: <math>a x^{2}+2 h x y+b y^{2}+c x+d y+e=0</math>
যদি <math>a b-h^{2}<0</math> তবে অধিবৃত্ত এবং <math>a b-h^{2}>0</math> হলে উপবৃত্ত 
এখানে, <math>a=5, h=-6, b=5 \therefore a b-h^{2}=5.5-(-6)^{2}=-11<0</math>
",,,,A. পরাবৃত্ত----B. উপবৃত্ত----C. অধিবৃত্ত----D. বৃত্ত
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},BB '2019,"203.  অধিবৃত্তের ক্ষেত্রে নিচের কোনটি সঠিক?
",,"<math>e>1</math>
",,"
",,,,A. <math>e=0</math>----B. <math>e=1</math>----C. <math>0<e<1</math>----D. <math>e>1</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},CB '2019,"204.  <math>x^{2}-y^{2}=2</math> অধিবৃত্তের ফোকাসদ্বয়ের মধ্যবর্তী দূরত্ব কোনটি?
",,"<math>4</math>
",,"<math>\begin{array}{l}x^{2}-y^{2}=2 \therefore \frac{x^{2}}{(\sqrt{2})^{2}}-\frac{y^{2}}{(\sqrt{2})^{2}}=1 \\e=\sqrt{1+\frac{b^{2}}{a^{2}}}=\sqrt{2}\end{array}</math>
ফোকাসদ্বয়ের দূরত্ব: <math>=2 \mathrm{ae}=2 \times \sqrt{2} \times \sqrt{2}=2 \times 2=4</math>
",,,,A. <math>2</math>----B. <math>2 \sqrt{2}</math>----C. <math>4</math>----D. <math>4 \sqrt{2}</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},SB '2019,"205.  <math>\frac{x^{2}}{9}+\frac{y^{2}}{4}=1</math> উপবৃত্তের-
i. উৎকেন্দ্রিকতা <math>\frac{\sqrt{5}}{3}</math>
ii. উপকেন্দ্রের স্থানাঙ্ক <math>(\pm \sqrt{5}, 0)</math>
iii. ক্ষুদ্র অক্ষের দৈর্ঘ্য <math>= 4</math>
নিচের কোনটি সঠিক?
",,"i, ii ও iii  ",,"
",,,,"A. i ও ii----B. i ও iii----C. ii ও iii----D. i, ii ও iii"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},JB '2019,"206.  <math>\frac{(x+2)^{2}}{3}+\frac{(y-1)^{2}}{4}=1</math> উপবৃত্তের- 3 (y – 1)2 - = 4
i. কেন্দ্রের স্থানাংক <math>(−2, 1)</math>
ii. ক্ষুদ্রাক্ষের দৈর্ঘ্য <math>6</math>
iii. একটি উপকেন্দ্রিক লম্বের সমীকরণ <math>y =2</math>
নিচের কোনটি সঠিক?
",,i ও iii  ,,"
",,,,"A. i ও ii----B. i ও iii----C. ii ও iii----D. i, ii ও iii"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},RB '2019,"207.  নিচের তথ্যের আলোকে প্রশ্নের উত্তর দাও :
<math>y=a x^{2}+b x+c(a \neq 0)</math> বক্ররেখাটি একটি পরাবৃত্তের সমীকরণ। 
পরাবৃত্তটির অক্ষরেখা হলো— ?
",,"y-অক্ষের সমান্তরাল
",,"
",,,,A. x-অক্ষের সমান্তরাল----B. y-অক্ষের সমান্তরাল----C. x- অক্ষ----D. y- অক্ষ
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},RB '2019,"208.  নিচের তথ্যের আলোকে প্রশ্নের উত্তর দাও :
<math>y=a x^{2}+b x+c(a \neq 0)</math> বক্ররেখাটি একটি পরাবৃত্তের সমীকরণ।  
পরাবৃত্তটি x-অক্ষকে স্পর্শ করলে <math>a x^{2}+b x+c=0</math> সমীকরণের মূলদ্বয় ?
",,"বাস্তব ও সমান
",,"
",,,,A. বাস্তব ও সমান----B. মূলদ ও অসমান----C. অমূলদ ও অসমান----D. জটিল ও অসমান
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},SB '2019,"209.  নিচের তথ্যের আলোকে প্রশ্নের উত্তর দাও : 
<math>y^{2}-4 y-4 x+16=0</math> একটি প্যারাবোলার সমীকরণ।
প্যারাবোলার উপকেন্দ্রের স্থানাঙ্ক কত?
",,"<math>(4,2)</math>
",,"<math>y^{2}-2.2 y+4=4 x-12 \Rightarrow(y-2)^{2}=4(x-3) \quad \therefore a=1</math>
উপকেন্দ্ৰ <math>(\alpha+a, \beta)=(3+1,2)=(4,2)</math>
",,,,"A. <math>(-4,-2)</math>----B. <math>(6,2)</math>----C. <math>(4,2)</math>----D. <math>(2,4)</math>"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},SB '2019,"210.  নিচের তথ্যের আলোকে প্রশ্নের উত্তর দাও : 
<math>y^{2}-4 y-4 x+16=0</math> একটি প্যারাবোলার সমীকরণ। 
অক্ষরেখার সমীকরণ কোনটি?
",,"<math>y-2=0</math>
",,"অক্ষরেখার সমীকরণ,<math>y_{0}-\beta=0 \therefore y-2=0</math>
",,,,A. <math>x-3=0</math>----B. <math>y-2=0</math>----C. <math>x=0</math>----D. <math>y=0</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},DiB '2019,"211.  নিচের তথ্যের আলোকে প্রশ্নের উত্তর দাও : 
<math>7 x^{2}+16 y^{2}=112</math> একটি কণিক। 
উপকেন্দ্রিক লম্বের দৈর্ঘ্য কত? 
",,"<math>\frac{7}{2}</math>
",,"<math>7 x^{2}+16 y^{2}=112 \therefore \frac{x^{2}}{16}+\frac{y^{2}}{7}=1</math> যেখানে <math>a=4</math> এবং <math>b=\sqrt{7}</math>
উপকেন্দ্রিক লম্বের দৈর্ঘ্য <math>=\frac{2 b^{2}}{a}=\frac{2 \times 7}{4}=\frac{7}{2}</math>
",,,,A. <math>\frac{\sqrt{7}}{8}</math>----B. <math>\frac{8}{7}</math>----C. <math>\frac{7}{2}</math>----D. <math>\frac{32}{\sqrt{7}}</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},DiB '2019,"212.  নিচের তথ্যের আলোকে প্রশ্নের উত্তর দাও : 
<math>7 x^{2}+16 y^{2}=112</math> একটি কণিক।  
উপকেন্দ্রের স্থানাঙ্ক ?
",,"<math>(\pm 3,0)</math>
",,"<math>e=\sqrt{1-\frac{b^{2}}{a^{2}}}=\sqrt{1-\frac{7}{16}}=\frac{3}{4}</math>
উপকেন্দ্রের স্থানাঙ্ক <math>=(\pm a e, 0)=\left(\pm 4 \times \frac{3}{4}, 0\right)=(\pm 3,0)</math>
",,,,"A. <math>(\pm 3,0)</math>----B. <math>(0, \pm 3)</math>----C. <math>\left(\pm \frac{3 \sqrt{7}}{4}, 0\right)</math>----D. <math>\left(0, \pm \frac{3 \sqrt{7}}{4}\right)</math>"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},RB '2019,"213.  নিচের তথ্যের আলোকে প্রশ্নের উত্তর দাও:
<math>\frac{x^{2}}{9}-\frac{y^{2}}{16}=1</math> একটি কণিকের সমীকরণ। 
কণিকটির উপকেন্দ্রের স্থানাঙ্ক কোনটি?
",,"<math>(\pm 5,0)</math>
",,"<math>\frac{x^{2}}{9}-\frac{y^{2}}{16}=1 \Rightarrow \frac{x^{2}}{3^{2}}-\frac{y^{2}}{4^{2}}=1</math>
এখানে,<math>\frac{x^{2}}{9}-\frac{y^{2}}{16}=1</math> এবং <math>a^{2}=9</math>
<math>b = 4</math> এবং <math>b^{2}=16</math>
উৎকেন্দ্রিকতা,<math>e=\sqrt{1+\frac{b^{2}}{a^{2}}}=\sqrt{1+\frac{16}{9}}=\frac{5}{3}</math>
<math>\therefore</math> উপকেন্দ্র <math>(\pm a e, 0) \equiv\left(\pm 3 \cdot \frac{5}{3}, 0\right) \equiv(\pm 5,0)</math>
",,,,"A. <math>(\pm \sqrt{7}, 0)</math>----B. <math>(\pm 5,0)</math>----C. <math>(0, \pm \sqrt{7})</math>----D. <math>(0, \pm 5)</math>"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},RB '2019,"214.  নিচের তথ্যের আলোকে প্রশ্নের উত্তর দাও:
<math>\frac{x^{2}}{9}-\frac{y^{2}}{16}=1</math> একটি কণিকের সমীকরণ।  
কণিকটির-
i. অসীমতট রেখার সমীকরণ, <math>y=\pm \frac{3}{4} x</math>
ii. নিয়ামক রেখার সমীকরণ <math>5 x \pm 9=0</math>
iii. পরামিতিক সমীকরণ, <math>x=3 \sec \theta</math> <math>y=4 \tan \theta</math>
নিচের কোনটি সঠিক?
",,ii ও iii  ,,"(i) সঠিক নয়। কারণ, অসীমতট রেখার সমীকরণ- <math>y=\pm \frac{4}{3} x</math>
(ii) নিয়ামক রেখার সমীকরণ, <math>x=\pm \frac{a}{e^{2}}=\pm \frac{3}{5} \Rightarrow x=\pm \frac{9}{5} \therefore 5 x \pm 9=0</math>
",,,,"A. i ও ii----B. ii ও iii----C. i ও iii----D. i, ii ও iii"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},ChB '2019,"215.  নিচের তথ্যের আলোকে প্রশ্নের উত্তর দাও : 
<math>\frac{x^{2}}{256}-\frac{y^{2}}{225}=1</math> একটি অধিবৃত্তের সমীকরণ।
শীর্ষবিন্দুর স্থানাঙ্ক ?
",,"<math>(\pm 16,0)</math>
",,"<math>\frac{x^{2}}{256}-\frac{y^{2}}{225}=1 \Rightarrow\frac{x^{2}}{16^{2}}-\frac{y^{2}}{15^{2}}=1</math>
যেখানে, <math>a=16, b=15</math>
<math>\therefore</math> শীর্ষবিন্দু <math>(\pm a, 0) \equiv(\pm 16,0)</math>
",,,,"A. <math>(\pm 16,0)</math>----B. <math>(\pm 15,0)</math>----C. <math>(0, \pm 16)</math>----D. <math>(0, \pm 15)</math>"
